ID,Name
230,Joint redness
193,Joint swelling
47,Joylessness
994,Knee deformity
256,Knee pain
146,Leg cramps
1010,Leg pain
231,Leg swelling
143,Leg ulcer
82,Less than 3 defecations per week
992,Limited mobility of the ankle
167,Limited mobility of the back
178,Limited mobility of the fingers
1000,Limited mobility of the hip
195,Limited mobility of the leg
35,Lip swelling
205,Lockjaw
210,Loss of eye lashes
174,Lower abdominal pain
263,Lower-back pain
261,Lump in the breast
266,Malposition of the testicles
232,Marked veins
235,Memory gap
112,Menstruation disorder
123,Missed period
215,Moist and softened skin
85,Mood swings
983,Morning stiffness
135,Mouth pain
97,Mouth ulcers
177,Muscle pain
119,Muscle stiffness
987,Muscle weakness
252,Muscular atrophy in the leg
202,Muscular atrophy of the arm
168,Muscular weakness in the arm
253,Muscular weakness in the leg
44,Nausea
136,Neck pain
234,Neck stiffness
114,Nervousness
133,Night cough
1004,Night sweats
63,Non-healing skin wound
38,Nosebleed
221,Numbness in the arm
254,Numbness in the leg
200,Numbness of the hands
137,Oversensitivity to light
157,Overweight
155,Pain in the bones
142,Pain in the calves
12,Pain in the limbs
990,Pain of the anus
203,Pain on swallowing
251,Pain radiating to the arm
103,Pain radiating to the leg
286,Pain when chewing
189,Painful defecation
109,Painful urination
150,Pallor
37,Palpitations
140,Paralysis
118,Physical inactivity
129,Problems with the sense of touch in the face
130,Problems with the sense of touch in the feet
258,Protrusion of the eyes
172,Purulent discharge from the urethra
173,Purulent discharge from the vagina
191,Rebound tenderness
54,Reduced appetite
78,Ringing in the ear
14,Runny nose
975,Sadness
269,Scalp redness
1001,Scar
60,Sensitivity to cold
69,Sensitivity to glare
102,Sensitivity to noise
264,Shiny red tongue
29,Shortness of breath
183,Side pain
26,Skin lesion
25,Skin nodules
124,Skin rash
61,Skin redness
217,Skin thickening
34,Skin wheal
241,Sleepiness with spontaneous falling asleep
52,Sleeplessness
95,Sneezing
13,Sore throat
64,Sputum
179,Stomach burning
185,Stress-related leg pain
28,Stuffy nose
138,Sweating
236,Swelling in the genital area
267,Swelling of the testicles
248,Swollen glands in the armpit
249,Swollen glands in the groin
169,Swollen glands in the neck
211,Tears
222,Testicular pain
243,Tic
201,Tingling
16,Tiredness
997,Toe deformity
1003,Toe swelling
980,Tongue burning
977,Tongue swelling
1008,Toothache
115,Tremor at rest
132,Tremor on movement
988,Trouble understanding speech
144,"Unconsciousness, short"
265,Uncontrolled defecation
116,Underweight
160,Urge to urinate
161,Urination during the night
68,Vision impairment
213,Vision impairment for far objects
166,Vision impairment for near objects
66,Visual field loss
101,Vomiting
181,Vomiting blood
972,Weakness or numbness on right or left side of body
23,Weight gain
22,Weight loss
30,Wheezing
187,Wound
105,Yellow colored skin
106,Yellowish discoloration of the white part of the eye
